Municipio;População residente;Perc População Rural; Unidade Domestica ; Rendimento mensal total domiciliar per capita nominal ;Perc Alfabetizacao;Perc Saneamento Adequado;Perc Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência;Perc Pessoas mais de 10 anos com rendimento;Perc Pessoas acima 25 anos com pelo menos fundamento completo;Perc Economicamente Ativa com Rendimento;IDHM 2010;IDHM Faixas;IDHM Renda 2010;IDHM Longevidade 2010;IDHM Educação 2010;Gini
Sítio do Mato;12050;43,02;2958;143;71,67;12,04;78,43;45,66;25,57;37,07;56,4;Baixo;53,8;76,8;43,5;59,56
Sítio do Quinto;12592;58,93;3772;219;44,89;16,07;83,4;61,99;12,94;52,06;53,3;Baixo;56,6;72,7;42,4;55,68
Souto Soares;15899;62,02;4175;194;71,12;1,37;81,15;57,83;24,5;54,41;59,2;Médio Alto;54;72,8;53,8;54,38
Tabocas do Brejo Velho;11431;65,6;3098;201;57,17;0,16;82,73;54,62;23,55;45,91;58,4;Médio Baixo;55,5;75,9;43,4;54,1
Tanque Novo;16128;54,63;4374;247;59,18;1,39;83,08;65,96;20,59;61,44;59,9;Médio Alto;57,7;77,1;48;59,97
Taperoá;18748;53,46;5113;229;62,53;27,4;80,31;65,79;25,62;55,06;56,6;Baixo;57,8;74,3;48,1;53,5
Tapiramutá;16516;22,6;3999;233;67,3;2,18;80,77;56,57;24,99;47,54;59,4;Médio Alto;56;77,5;49;61,91
Teolândia;14836;65,84;3621;210;56,38;21,87;81,74;60,19;21,72;54,25;55,5;Baixo;54,4;77,6;45,3;48,59
Terra Nova;12803;10,27;3606;268;80,79;51,69;84,19;60,2;32,23;44,9;57,8;Médio Baixo;56,5;74,9;43;45,76
Tremedal;17029;76,87;4831;234;52,87;6,29;86,55;62,02;12,51;44,37;52,8;Baixo;57,1;74,5;47,2;48,65
Ubaíra;19750;55,33;5897;260;55,63;33,7;83,9;63,59;22,15;57,68;58,2;Médio Baixo;57,3;70,9;51,3;58,31
Uibaí;13625;39;4199;244;74,83;1,91;84,89;65,54;30,89;48,66;61,7;Alto;54,5;76,4;47,9;53,71
Umburanas;17000;55,82;3974;147;63,55;1,56;82,54;50,72;19,13;41,8;51,5;Baixo;56,6;74,9;47,5;50,74
Urandi;16466;63,93;4477;284;64,91;7,42;85;63,39;21,98;46,2;59,8;Médio Alto;56,7;76,8;48,8;51,26
Uruçuca;19837;20,46;6020;311;68,12;59,78;82,66;65,19;32,93;51,37;61,6;Alto;61,8;75,1;46,7;49,49
Utinga;18173;29,51;5081;229;71,21;1,91;81,02;65,58;27,81;54,12;59;Médio Alto;56,8;76,7;48,1;62,53
Várzea da Roça;13786;52,99;4229;208;57,29;17,05;84,38;65,13;14,97;56,61;53,9;Baixo;56,6;71,7;46,9;49,97
Várzea Nova;13073;34,58;3919;212;65,78;31,51;83,64;66,7;23,07;53,66;55,5;Baixo;57,9;75,2;40,6;49,93
Wanderley;12485;52,92;3498;237;64,65;0,86;82,5;59,24;25,42;50,78;60;Médio Alto;57,5;74,4;43,8;59,93
Alcobaça;21271;47,89;5988;302;66,87;26,75;81,06;65,49;26,86;55,65;60,8;Médio Alto;60,9;75,9;46,6;53,45
Amargosa;34351;27,54;10382;319;68,86;18,63;84,57;66,79;33,88;57,46;62,5;Alto;65,2;77,8;49,7;56,79
Amélia Rodrigues;25190;20,77;7153;331;80,46;8,88;83,54;62,6;45,8;54,97;66,6;Alto;57,7;74,4;54,5;49,98
Anagé;25516;80,7;7239;226;49,16;10,94;84,86;61,52;13,71;41,98;54;Baixo;58,1;75,3;46,1;48,41
