Municipio;População residente;População Rural; Unidade Domestica ; Rendimento mensal total domiciliar per capita nominal ;Analfabetismo;Residencia sem Saneamento;Saneamento Semi-Inadequado;Saneamento Inadequado;Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência;Perc Pessoas mais de 10 anos sem rendimento;Perc Pessoas mais de 10 anos com menos 1 salario;Perc Pessoas acima 25 anos sem Instrucao e fundamental incompleto;Economicamente Ativa;Perc Economicamente Ativa - Sem Rendimento;Não Economicamente Ativa;Perc Não Economicamente Ativa - Com Rendimento;IDHM 2010;IDHM Renda 2010;IDHM Longevidade 2010;IDHM Educação 2010;Gini
Nova Itarana;7435;4720;2096;179;3164;1038;3781;698;2007;45,03;47,32;84,23;2488;22,60;3576;39,35;52,40;51,40;73,70;34,30;56,03
Nova Redenção;8034;2797;2120;225;3212;1440;3473;881;2935;43,19;44,88;79,16;3492;24,16;3221;36,18;56,70;53,90;77,50;37,40;50,95
Ouriçangas;8298;5536;2417;259;3406;402;3625;331;3981;34,47;51,92;76,12;4219;19,04;2872;42,87;60,70;57,00;73,90;40,50;45,52
Palmeiras;8410;3171;2441;285;2122;785;2924;416;3504;35,36;48,49;62,53;3868;16,36;2992;40,07;64,30;55,70;75,80;41,30;58,34
Pedrão;6876;5160;1877;224;2228;4074;1655;2864;2721;42,90;46,84;75,53;2960;28,00;2826;41,50;58,80;48,80;76,10;44,50;47,53
Piraí do Norte;9799;6110;2633;235;3586;4304;1657;2076;4020;37,06;50,99;81,20;4248;11,05;3689;32,98;53,30;53,40;81,00;40,30;49,41
Planaltino;8822;5182;2529;245;4284;4317;2320;2262;3996;33,98;53,29;82,72;4273;18,09;3212;44,88;57,20;53,60;72,50;40,90;56,31
Potiraguá;9810;3206;2808;305;3174;660;786;397;3809;33,87;51,40;70,74;4448;13,95;3702;42,19;62,50;50,30;75,00;45,70;49,47
Quixabeira;9554;5891;3036;214;4358;2124;3486;948;4217;34,52;53,83;81,12;4454;20,00;3546;47,24;57,80;52,60;71,80;43,20;50,53
Ribeirão do Largo;8602;3955;2428;250;3746;3203;1479;1803;3450;33,90;51,34;84,66;3680;9,81;3292;39,17;54,00;48,90;77,80;35,40;47,18
Rodelas;7775;1235;2094;258;2400;196;842;112;2471;42,03;43,79;59,04;2785;17,07;3440;37,76;63,20;55,90;76,60;40,60;55,58
Santa Cruz da Vitória;6673;1597;1761;251;2476;906;598;698;1805;50,83;37,47;67,65;2039;14,09;3613;28,43;61,00;54,80;71,20;43,90;58,19
Santa Teresinha;9648;7314;2886;234;3630;2390;3095;1344;3299;41,85;48,73;77,16;3710;23,70;4430;42,95;58,70;54,80;77,00;43,70;54,24
Santanópolis;8776;7092;2480;234;3104;3944;2436;2128;3985;38,67;47,40;73,46;4236;28,58;3008;47,12;59,20;50,60;77,60;42,40;52,56
São Domingos;9226;3310;2911;290;3140;1122;1168;555;4499;25,79;59,08;68,51;4883;10,18;2959;48,45;64,00;53,60;73,20;44,40;47,29
São José da Vitória;5715;553;1711;229;2274;337;1133;301;1798;37,58;50,18;77,77;2031;9,82;2639;41,06;54,60;50,80;72,90;38,90;46,06
Tanquinho;8008;2297;2222;279;2366;1236;1767;799;2706;41,25;46,32;65,82;2963;16,71;3788;39,55;59,70;51,40;72,90;44,70;48,54
Teodoro Sampaio;7895;1554;2447;247;2738;1148;3032;709;2481;42,30;46,72;69,79;2978;21,63;3717;41,14;59,40;51,10;74,90;43,50;56,42
Várzea do Poço;8661;2872;2811;255;3160;1064;3121;588;3598;30,73;55,02;75,76;3939;16,03;3483;52,64;57,50;53,30;77,20;38,60;51,29
Varzedo;9109;5745;2718;252;3616;2304;2582;1192;4207;34,04;50,88;76,17;4546;20,77;3185;47,01;58,60;56,10;68,90;42,40;52,37
Vereda;6800;5421;2087;277;3066;1821;2040;1306;2443;39,96;46,79;81,55;2571;12,80;3110;37,59;57,70;53,90;68,90;43,40;47,29
Wagner;8983;2501;2461;242;2766;1163;3940;615;3648;37,80;47,19;71,38;4002;18,65;3422;39,80;58,70;51,60;75,10;42,50;52,62
Abaré;17064;8035;4314;202;6296;3279;1615;1002;5749;45,40;44,23;73,54;6793;29,70;6810;38,94;57,50;53,30;74,60;52,30;56,21
Acajutiba;14653;1879;4103;229;4594;2546;3486;798;5420;40,44;46,97;73,15;5856;17,30;6051;37,16;58,20;53,90;76,90;46,80;57,91
Adustina;15702;10129;4522;208;8112;6654;1501;2035;5472;41,18;48,09;85,78;5898;19,15;7185;40,74;54,60;58,60;73,10;47,40;54,78
Água Fria;15731;9955;4585;211;6280;6061;2525;1969;6459;46,17;43,59;79,32;7019;33,11;6233;39,12;55,00;52,70;76,30;50,50;53,76
