IDHM Educação 2010,Gini,Perc Saneamento Adequado,"Perc Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência",Perc Pessoas mais de 10 anos com rendimento,População residente,IDHM 2010,Municipio,Neural Network,Selected
continuous,continuous,continuous,continuous,continuous,continuous,continuous,string,continuous,discrete
,,,,,,class,meta,meta,meta
54.5,49.98,8.88,83.54,62.6,25190.0,66.6,Amélia Rodrigues,59.64187717672219,No
46.1,48.41,10.94,84.86,61.52,25516.0,54.0,Anagé,57.96900716252482,No
45.2,54.44,29.15,81.25,61.35,20060.0,58.5,Baixa Grande,57.975336736675274,No
56.0,59.97,15.96,78.75,50.41,49325.0,55.7,Barra,58.29947592013309,No
48.9,54.56,44.19,82.18,63.0,21187.0,57.5,Barra da Estiva,60.272043905324935,No
53.1,44.52,25.08,81.9,66.68,34788.0,55.1,Barra do Choça,58.265906966476464,No
52.5,49.79,51.81,81.16,60.99,21798.0,59.8,Belmonte,59.2685009234924,No
50.3,53.57,1.1,84.01,60.21,22037.0,60.3,Boquira,59.18569088015757,No
48.4,57.29,44.53,84.76,62.02,32026.0,64.7,Cachoeira,62.240524061330646,No
49.6,48.35,15.31,86.37,69.9,22236.0,63.7,Caculé,61.10392197173452,No
54.6,59.93,31.25,84.92,66.17,47515.0,62.5,Caetité,64.58746083680958,No
53.6,62.44,64.67,80.85,58.45,31472.0,58.1,Camacan,62.81269824527905,No
56.5,54.84,31.39,79.11,61.6,35180.0,56.5,Camamu,59.62036398884919,No
51.3,60.78,0.0,81.28,53.13,28090.0,55.7,Campo Alegre de Lourdes,58.60309480485772,No
50.5,48.88,1.24,81.32,69.79,24067.0,58.7,Canarana,57.95538572995927,No
51.4,51.97,49.59,82.82,63.92,32336.0,59.0,Canavieiras,60.9272880788302,No
50.4,51.08,7.28,83.0,65.29,27918.0,60.1,Cândido Sales,59.03182230580344,No
56.1,57.33,19.42,81.38,58.24,32908.0,55.7,Cansanção,60.466745516198515,No
50.2,54.93,10.85,82.73,69.86,26577.0,62.1,Capim Grosso,60.69309747697731,No
49.8,58.73,21.14,81.01,61.2,21414.0,61.6,Caravelas,59.67306477230549,No
50.3,51.72,5.32,80.86,58.44,28380.0,57.6,Carinhanha,56.801771458368485,No
51.6,54.94,53.56,84.45,60.72,25408.0,61.3,Castro Alves,62.3395931392235,No
50.1,53.91,40.01,85.03,66.15,32300.0,58.5,Cícero Dantas,62.35923909846322,No
50.3,56.38,77.81,83.77,60.46,20964.0,61.3,Coaraci,62.97227639701198,No
51.0,57.38,5.46,83.49,57.68,20391.0,63.4,Conceição da Feira,59.82873305026278,No
54.5,48.47,4.68,84.13,65.67,30123.0,66.3,Conceição do Jacuípe,59.90076110328008,No
48.0,63.63,7.71,79.45,55.27,23620.0,56.0,Conde,58.175813872237754,No
51.7,52.93,3.55,84.07,57.63,22401.0,59.2,Coração de Maria,59.07601344243558,No
51.8,58.85,13.94,83.17,54.94,31249.0,60.3,Correntina,60.160497161802695,No
46.5,58.31,4.88,82.28,64.49,20046.0,54.3,Crisópolis,59.37217329642558,No
51.3,52.79,33.69,80.93,58.83,32168.0,58.1,Curaçá,58.58754506452054,No
46.5,51.22,16.88,81.24,57.93,23766.0,54.4,Encruzilhada,56.39827843352735,No
50.8,62.49,9.51,81.67,53.42,39872.0,61.5,Entre Rios,59.62128103825977,No
56.2,59.0,9.31,80.64,59.61,32802.0,58.9,Esplanada,60.29911260747437,No
