Índice de Gini da renda domiciliar per capita segundo Município - Bahia;;;
Período: 1991, 2000 e 2010;;;
292810 Santa Maria da Vitória;0,6033;0,6581;0,5475
292840 Santa Rita de Cássia;0,5097;0,6768;0,6061
292850 Santa Teresinha;0,5201;0,4647;0,5424
292800 Santaluz;0,5817;0,6369;0,4999
292820 Santana;0,5875;0,6337;0,5518
292830 Santanópolis;0,43;0,5367;0,5256
292860 Santo Amaro;0,5725;0,5373;0,569
292870 Santo Antônio de Jesus;0,6164;0,5702;0,5498
292880 Santo Estêvão;0,518;0,5533;0,5755
292890 São Desidério;0,588;0,5591;0,5753
292895 São Domingos;0,4483;0,4216;0,4729
292910 São Felipe;0,4916;0,5408;0,5101
292900 São Félix;0,5637;0,5941;0,4921
292905 São Félix do Coribe;0,4819;0,5532;0,5058
292920 São Francisco do Conde;0,644;0,5873;0,5198
292925 São Gabriel;0,4559;0,7428;0,5181
292930 São Gonçalo dos Campos;0,5882;0,5741;0,5681
292935 São José da Vitória;0,4652;0,4754;0,4606
292937 São José do Jacuípe;0,4616;0,5199;0,4664
292940 São Miguel das Matas;0,5031;0,4903;0,5213
292950 São Sebastião do Passé;0,5596;0,552;0,5464
292960 Sapeaçu;0,5133;0,5555;0,5905
292970 Sátiro Dias;0,4232;0,596;0,5448
292975 Saubara;0,5493;0,4531;0,5005
292980 Saúde;0,4803;0,58;0,5525
292990 Seabra;0,5378;0,6285;0,5803
293000 Sebastião Laranjeiras;0,662;0,5229;0,4635
293010 Senhor do Bonfim;0,6348;0,6638;0,5833
293020 Sento Sé;0,6327;0,5804;0,5343
293015 Serra do Ramalho;0,5597;0,6359;0,5467
293030 Serra Dourada;0,483;0,5881;0,5143
293040 Serra Preta;0,4448;0,5298;0,4887
293050 Serrinha;0,5851;0,6062;0,5612
293060 Serrolândia;0,5169;0,6053;0,5098
293070 Simões Filho;0,5171;0,5933;0,5258
293075 Sítio do Mato;0,4074;0,6048;0,5956
293076 Sítio do Quinto;0,5156;0,6204;0,5568
293077 Sobradinho;0,6905;0,5993;0,516
293080 Souto Soares;0,5312;0,5881;0,5438
293090 Tabocas do Brejo Velho;0,4439;0,6097;0,541
293100 Tanhaçu;0,5843;0,5566;0,5083
293105 Tanque Novo;0,5871;0,5589;0,5997
293110 Tanquinho;0,5399;0,6011;0,4854
293120 Taperoá;0,5879;0,595;0,535
293130 Tapiramutá;0,4588;0,5157;0,6191
293135 Teixeira de Freitas;0,6186;0,6311;0,5408
293140 Teodoro Sampaio;0,5947;0,5029;0,5642
293150 Teofilândia;0,7179;0,6616;0,5475
293160 Teolândia;0,5081;0,5654;0,4859
293170 Terra Nova;0,5132;0,5257;0,4576
293180 Tremedal;0,5029;0,6491;0,4865
293190 Tucano;0,506;0,5654;0,6614
293200 Uauá;0,5471;0,5507;0,5777
293210 Ubaíra;0,5124;0,5122;0,5831
293220 Ubaitaba;0,655;0,5722;0,5619
293230 Ubatã;0,6801;0,6204;0,5356
293240 Uibaí;0,4673;0,5448;0,5371
293245 Umburanas;0,439;0,5444;0,5074
293250 Una;0,5319;0,5511;0,5178
293260 Urandi;0,8324;0,5777;0,5126
293270 Uruçuca;0,5166;0,5177;0,4949
293280 Utinga;0,5023;0,5513;0,6253
293290 Valença;0,5926;0,6047;0,5539
293300 Valente;0,5412;0,5561;0,4983
293305 Várzea da Roça;0,4957;0,5801;0,4997
293310 Várzea do Poço;0,4956;0,5387;0,5129
293315 Várzea Nova;0,4446;0,5274;0,4993
293317 Varzedo;0,5389;0,4919;0,5237
293320 Vera Cruz;0,5941;0,6372;0,5787
293325 Vereda;0,6345;0,5529;0,4729
293330 Vitória da Conquista;0,6053;0,6283;0,5588
293340 Wagner;0,5326;0,6193;0,5262
293345 Wanderley;0,5813;0,622;0,5993
293350 Wenceslau Guimarães;0,4997;0,5105;0,452
293360 Xique-Xique;0,5388;0,6091;0,5678
Total;0,674;0,6654;0,6278
Fonte: IBGE/Censos Demográficos 1991, 2000 e 2010;;;
